"kpi","lokasi","Area","Realisasi","insert_at","bulan"
"ASR-ENT-Assurance Guarantee DATIN","reg","REGIONAL 01",90.71,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg","REGIONAL 02",90.82,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg","REGIONAL 03",96.95,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg","REGIONAL 04",95.34,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg","REGIONAL 05",92.91,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg","REGIONAL 06",87.98,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg","REGIONAL 07",84.95,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg4","KUDUS",88.89,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg4","MAGELANG",94.74,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg4","PEKALONGAN",94.87,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg4","PURWOKERTO",96.55,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg4","SEMARANG",98.57,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg4","SOLO",100.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg4","YOGYAKARTA",90.63,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","DENPASAR",89.23,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","JEMBER",100.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","KEDIRI",96.55,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","MADIUN",93.10,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","MADURA",90.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","MALANG",100.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","NTB",92.19,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","NTT",89.36,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","PASURUAN",96.30,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","SIDOARJO",93.62,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","SINGARAJA",82.61,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","SURABAYA SELATAN",97.83,"2025-09-17",9
"ASR-ENT-Assurance Guarantee DATIN","reg5","SURABAYA UTARA",96.88,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg","REGIONAL 01",92.76,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg","REGIONAL 02",92.95,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg","REGIONAL 03",95.72,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg","REGIONAL 04",92.78,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg","REGIONAL 05",91.39,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg","REGIONAL 06",89.24,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg","REGIONAL 07",83.95,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg4","KUDUS",93.22,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg4","MAGELANG",95.45,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg4","PEKALONGAN",87.50,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg4","PURWOKERTO",90.91,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg4","SEMARANG",90.74,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg4","SOLO",95.65,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg4","YOGYAKARTA",94.29,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","DENPASAR",71.74,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","JEMBER",100.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","KEDIRI",100.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","MADIUN",100.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","MADURA",100.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","MALANG",96.30,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","NTB",95.12,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","NTT",87.80,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","PASURUAN",100.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","SIDOARJO",89.80,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","SINGARAJA",95.83,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","SURABAYA SELATAN",86.54,"2025-09-17",9
"ASR-ENT-Assurance Guarantee WiFi","reg5","SURABAYA UTARA",95.74,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg","REGIONAL 01",90.55,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg","REGIONAL 02",90.08,"2025-09-17",9
