witel,sugar_datin,sugar_wifi,sugar_hsi,ttic_hsi,ffg_hsi,pspi,ttr_ffg_hsi,ttic_ih,ffg_ih,ttr_ffg_ih,ttr_k1,ttr_k2,ttr_k3,ttr_wifi,wsa_sugar,wsa_ttr3,wsa_ttr6,wsa_ttr36,wsa_ttrmanja,ttr4_indibiz,ttr24_indibiz,ttr6_reseller,ttr36_reseller,ttr_dwdm_real,ttr_siptrunk_real,wifi_revi,ffg_non_hsi,ttc_non_hsi,ttr_ffg_non_hsi,av_wifi_all,unspec
TERRITORY 01,90.02,93.79,89.99,80.02,98.64,44.68,53.49,93.09,98.74,94.48,nan,81.03,93.33,95.95,90.32,98.25,97.97,99.32,98.77,71.10,97.90,86.60,97.90,-,7.93,75.86,96.24,92.86,100.00,99.96,99.34
TERRITORY 02,92.48,93.48,90.83,85.83,98.48,44.76,83.13,97.64,98.81,98.75,nan,83.02,89.86,98.65,93.24,98.33,98.97,99.80,99.16,66.10,96.10,83.00,95.80,1.02,4.51,74.07,97.74,98.90,100.00,99.01,99.65
TERRITORY 03,93.66,91.06,90.66,89.10,98.75,45.14,67.24,95.67,98.98,95.33,nan,85.05,91.48,95.27,92.06,97.67,97.21,99.70,96.95,63.60,95.20,78.30,97.70,3.98,9.4,87.8,100.00,100.00,100.00,99.00,99.76
TERRITORY 04,87.99,87.40,89.28,92.87,98.11,24.41,58.06,90.51,98.78,87.58,nan,71.62,75.29,81.29,92.10,94.16,91.04,97.99,97.72,49.00,84.90,65.40,92.20,-,-,85.71,97.60,100.00,100.00,99.76,99.25
BALI,85.71,81.18,82.84,77.92,98.29,21.05,80.00,95.21,98.23,93.33,nan,76.47,84.00,82.61,92.14,88.89,90.27,98.75,89.47,39.90,89.80,53.30,93.50,3.98,20.83,90.91,100.00,100.00,100.00,96.74,99.12
MALANG,97.37,96.23,96.88,88.52,99.71,53.37,50.00,97.85,99.11,95.00,nan,77.78,90.91,100.00,93.85,100.00,98.84,100.00,98.54,73.80,98.40,90.00,100.00,-,-,-,100.00,100.00,100.00,99.67,99.91
NUSA TENGGARA,90.63,89.16,89.48,81.19,98.53,27.70,57.14,85.75,97.21,89.47,nan,80.00,86.96,90.63,87.62,100.00,96.53,99.25,90.71,61.20,91.80,67.90,96.40,-,-,50,100.00,100.00,100.00,97.65,99.37
SEMARANG,95.96,90.65,91.56,92.53,98.39,36.57,75.00,95.14,99.66,93.75,nan,93.75,100.00,97.56,93.46,100.00,100.00,99.94,98.91,70.10,97.90,89.10,100.00,-,3.68,-,100.00,100.00,100.00,99.88,100.00
SIDOARJO,95.06,93.44,94.57,93.89,99.61,57.59,33.33,98.91,99.29,100.00,nan,86.67,96.00,100.00,93.03,100.00,100.00,100.00,98.91,85.80,99.20,86.40,100.00,-,-,100,100.00,100.00,100.00,99.74,99.77
SOLO,94.05,93.43,90.88,87.91,98.92,54.05,60.00,94.86,99.56,100.00,nan,100.00,100.00,97.73,93.18,96.97,100.00,99.95,98.52,71.70,95.50,89.40,97.00,-,-,100,100.00,100.00,100.00,99.87,99.87
