kpi,lokasi,area,nilai
ASR-ENT-Assurance Guarantee DATIN,D_BALI,tif,86.31999969482422
ASR-ENT-Assurance Guarantee DATIN,D_MALANG,tif,97.47000122070312
ASR-ENT-Assurance Guarantee DATIN,D_NUSRA,tif,91.58000183105469
ASR-ENT-Assurance Guarantee DATIN,D_SEMARANG,tif,97.08999633789062
ASR-ENT-Assurance Guarantee DATIN,D_SIDOARJO,tif,95.29000091552734
ASR-ENT-Assurance Guarantee DATIN,D_SOLO,tif,94.19000244140625
ASR-ENT-Assurance Guarantee DATIN,D_SURAMADU,tif,95.80000305175781
ASR-ENT-Assurance Guarantee DATIN,D_YOGYAKARTA,tif,95
ASR-ENT-Assurance Guarantee DATIN,TERRITORY 01,tif,89.88999938964844
ASR-ENT-Assurance Guarantee DATIN,TERRITORY 02,tif,92.0999984741211
ASR-ENT-Assurance Guarantee DATIN,TERRITORY 03,tif,94.06999969482422
ASR-ENT-Assurance Guarantee DATIN,TERRITORY 04,tif,86.8499984741211
ASR-ENT-Assurance Guarantee WiFi,D_BALI,tif,81.61000061035156
ASR-ENT-Assurance Guarantee WiFi,D_MALANG,tif,96.2300033569336
ASR-ENT-Assurance Guarantee WiFi,D_NUSRA,tif,89.0199966430664
ASR-ENT-Assurance Guarantee WiFi,D_SEMARANG,tif,90.13999938964844
ASR-ENT-Assurance Guarantee WiFi,D_SIDOARJO,tif,93.8499984741211
ASR-ENT-Assurance Guarantee WiFi,D_SOLO,tif,95.06999969482422
ASR-ENT-Assurance Guarantee WiFi,D_SURAMADU,tif,92.36000061035156
ASR-ENT-Assurance Guarantee WiFi,D_YOGYAKARTA,tif,93.22000122070312
ASR-ENT-Assurance Guarantee WiFi,TERRITORY 01,tif,93.05999755859375
ASR-ENT-Assurance Guarantee WiFi,TERRITORY 02,tif,93.76000213623047
ASR-ENT-Assurance Guarantee WiFi,TERRITORY 03,tif,91.48999786376953
ASR-ENT-Assurance Guarantee WiFi,TERRITORY 04,tif,87.25
ASR-ENT-Assurance Guarantee HSI,D_BALI,tif,82.70999908447266
ASR-ENT-Assurance Guarantee HSI,D_MALANG,tif,96.6500015258789
ASR-ENT-Assurance Guarantee HSI,D_NUSRA,tif,89.18000030517578
ASR-ENT-Assurance Guarantee HSI,D_SEMARANG,tif,91.69000244140625
ASR-ENT-Assurance Guarantee HSI,D_SIDOARJO,tif,94.44000244140625
ASR-ENT-Assurance Guarantee HSI,D_SOLO,tif,90.80999755859375
ASR-ENT-Assurance Guarantee HSI,D_SURAMADU,tif,92.70999908447266
ASR-ENT-Assurance Guarantee HSI,D_YOGYAKARTA,tif,91.70999908447266
ASR-ENT-Assurance Guarantee HSI,TERRITORY 01,tif,90.05000305175781
ASR-ENT-Assurance Guarantee HSI,TERRITORY 02,tif,91.01000213623047
ASR-ENT-Assurance Guarantee HSI,TERRITORY 03,tif,90.66000366210938
ASR-ENT-Assurance Guarantee HSI,TERRITORY 04,tif,89.47000122070312
FFM-ENT-TTI Compliance HSI,D_BALI,tif,79.01000213623047
FFM-ENT-TTI Compliance HSI,D_MALANG,tif,88.80000305175781
FFM-ENT-TTI Compliance HSI,D_NUSRA,tif,82.58999633789062
FFM-ENT-TTI Compliance HSI,D_SEMARANG,tif,91.52999877929688
FFM-ENT-TTI Compliance HSI,D_SIDOARJO,tif,94.2699966430664
FFM-ENT-TTI Compliance HSI,D_SOLO,tif,88.20999908447266
FFM-ENT-TTI Compliance HSI,D_SURAMADU,tif,89.9000015258789
FFM-ENT-TTI Compliance HSI,D_YOGYAKARTA,tif,89.04000091552734
FFM-ENT-TTI Compliance HSI,TERRITORY 01,tif,80.7699966430664
