LOKASI,MANUAL GAMAS
JML TIKET,MTTR,TIKET COMPLY,% COMPLY
DISTRIBUSI ( TARGET COMPLY  :  4 JAM),35,4.48,31,88.57
BALI,4,4.43,3,75.00
NUSA TENGGARA,3,11.66,1,33.33
SEMARANG,3,1.07,3,100.00
SIDOARJO,6,1.49,6,100.00
SOLO,11,1.20,11,100.00
SURAMADU,4,8.82,3,75.00
YOGYAKARTA,4,2.72,4,100.00
FEEDER ( TARGET COMPLY  :  10 JAM),4,7.96,3,75.00
BALI,1,24.75,0,0.00
NUSA TENGGARA,1,1.14,1,100.00
SIDOARJO,1,2.37,1,100.00
SURAMADU,1,3.56,1,100.00
ODP ( TARGET COMPLY  :  3 JAM),8,7.02,4,50.00
BALI,3,17.42,0,0.00
NUSA TENGGARA,2,2.54,1,50.00
SURAMADU,3,1.10,3,100.00
ODC ( TARGET COMPLY  :  18 JAM),3,8.09,3,100.00
SOLO,1,2.04,1,100.00
YOGYAKARTA,2,14.14,2,100.00
