LOKASI,MANUAL GAMAS
JML TIKET,MTTR,TIKET COMPLY,% COMPLY
DISTRIBUSI ( TARGET COMPLY  :  4 JAM),199,11.90,146,73.37
TERITORY 01,72,3.78,59,81.94
TERITORY 02,24,2.83,21,87.50
TERITORY 03,35,3.55,31,88.57
TERITORY 04,68,37.43,35,51.47
FEEDER ( TARGET COMPLY  :  10 JAM),44,9.50,30,68.18
TERITORY 01,14,7.69,13,92.86
TERITORY 02,11,6.55,9,81.82
TERITORY 03,4,7.96,3,75.00
TERITORY 04,15,15.80,5,33.33
ODP ( TARGET COMPLY  :  3 JAM),80,2.77,69,86.25
TERITORY 01,24,1.55,23,95.83
TERITORY 02,1,0.37,1,100.00
TERITORY 03,8,7.58,4,50.00
TERITORY 04,47,1.56,41,87.23
ODC ( TARGET COMPLY  :  18 JAM),20,5.85,20,100.00
TERITORY 02,3,6.17,3,100.00
TERITORY 03,3,10.11,3,100.00
TERITORY 04,14,1.27,14,100.00
