LOKASI,MANUAL GAMAS
JML TIKET,MTTR,TIKET COMPLY,% COMPLY
DISTRIBUSI ( TARGET COMPLY  :  4 JAM),17,7.64,13,76.47
DENPASAR,3,1.61,3,100.00
JEMBER,1,1.46,1,100.00
MADURA,3,2.28,3,100.00
NTB,3,11.66,1,33.33
PASURUAN,1,1.18,1,100.00
SIDOARJO,4,1.57,4,100.00
SINGARAJA,1,12.87,0,0.00
SURABAYA UTARA,1,28.47,0,0.00
FEEDER ( TARGET COMPLY  :  10 JAM),4,7.96,3,75.00
DENPASAR,1,24.75,0,0.00
NTT,1,1.14,1,100.00
PASURUAN,1,2.37,1,100.00
SURABAYA UTARA,1,3.56,1,100.00
ODP ( TARGET COMPLY  :  3 JAM),8,4.95,4,50.00
DENPASAR,3,17.42,0,0.00
NTB,1,0.68,1,100.00
NTT,1,4.41,0,0.00
SURABAYA SELATAN,1,1.20,1,100.00
SURABAYA UTARA,2,1.06,2,100.00
